id;product_A_sold_in_the_past;product_B_sold_in_the_past;product_A_recommended;product_A;product_C;product_D;cust_hitrate;cust_interactions;cust_contracts;opp_month;opp_old;competitor_Z;competitor_X;competitor_Y;cust_in_iberia;target_variable
1;-25992;-34794;-1097;-891;-2372;-4247;12643;30731;-34997;-141464;-28185;0;0;0;1;1
2;-25992;-28599;-1097;-891;-2372;-4247;42465;326349;92184;-111923;354793;1;0;0;0;0
3;-25992;-18998;-1097;-891;-2372;-4247;72559;129633;-34997;65323;-28185;0;0;0;0;0
4;65945;335306;-1097;-891;-2372;-4247;155091;-6817;346544;124404;-28185;0;0;0;1;0
5;-25992;-24623;-1097;-891;-2372;-4247;-50193;6551;-3202;153945;-28185;1;0;0;0;0
6;-25992;-34794;-1097;-891;-2372;-4247;37336;128546;-34997;-233;-28185;0;0;0;1;1
7;28136;225596;-1097;-891;-2372;-4247;-76732;322002;-34997;-141464;354793;1;0;1;0;0
8;-25992;-34794;-1097;-891;-2372;-4247;-7108;-6817;-34997;-141464;-28185;0;0;0;1;1
9;-25992;-34794;-1097;-891;-2372;-4247;-42123;-42086;-34997;35782;-28185;0;0;1;1;1
10;-21965;-1507;59619;478455;-2372;-4247;129971;108983;-34997;-233;-28185;0;0;1;1;1
11;-25992;-18594;-1097;-891;-2372;-4247;-73938;24211;-34997;94864;-28185;0;0;1;1;1
12;-25992;225232;-1097;-891;-2372;-4247;-1657;203537;-34997;-111923;-28185;1;0;1;1;0
13;-586;-24182;-1097;-891;-2372;-4247;-8269;85073;-34997;153945;-28185;0;0;0;1;0
14;-25992;-34794;-1097;-891;-2372;-4247;170408;-6817;-34997;-141464;-28185;0;0;0;1;1
15;-25992;-18026;-1097;-891;-2372;-4247;173092;-6817;-34997;-233;-28185;0;0;0;0;1
16;-25992;-34794;-1097;-891;-2372;-4247;-11667;-57302;-34997;65323;-28185;1;0;0;0;1
17;-25992;-34794;-1097;-891;-2372;-4247;-104129;-6817;-34997;124404;-28185;0;0;0;1;0
18;-25992;-32141;-1097;-891;-2372;-4247;1631;-6817;-34997;-82382;-28185;0;0;0;1;1
19;-25992;-34794;-1097;-891;-2372;-4247;-111173;99202;-3202;-111923;-28185;0;0;0;1;0
20;-25992;-30331;-1097;-891;-2372;-4247;173092;-6817;-34997;94864;-28185;1;0;0;1;1
21;18371;-11793;-1097;-891;-2372;-4247;-75255;-6817;-34997;94864;-28185;1;0;0;1;0
22;-25992;-34794;-1097;-891;-2372;-4247;173092;-58389;-34997;-233;-28185;0;0;1;0;1
23;405959;-34794;51314;223537;-2372;-4247;55338;6225;-34997;-111923;354793;0;0;1;1;0
24;-586;-24182;-1097;-891;-2372;-4247;-77412;-6817;-34997;-233;-28185;0;0;0;0;0
25;-25992;-34794;-1097;-891;-2372;-4247;-74223;-5134;-34997;94864;-28185;0;0;0;1;1
26;-25992;-19213;-1097;-891;-2372;-4247;73773;515457;-34997;-82382;-28185;0;0;0;1;0
27;-25992;-31362;-1097;-891;-2372;-4247;35389;118765;-34997;6241;354793;1;0;0;0;0
28;-25992;-19767;-1097;-891;-2372;-4247;75433;167672;-34997;-111923;-28185;0;0;1;0;1
29;-25992;-34794;-1097;-891;-2372;-4247;-112789;74205;-34997;94864;-28185;0;0;0;1;1
30;-25992;-34794;-1097;-891;-2372;-4247;10426;72031;-3202;-111923;-28185;0;0;0;0;0
31;-25992;-34557;-1097;-891;-2372;-4247;156184;-6817;60388;-111923;-28185;0;0;0;1;1
32;-25992;-34794;-1097;-891;-2372;-4247;77;131807;-34997;35782;-28185;0;0;0;0;1
33;-25992;-34794;404258;-891;-2372;-4247;-12253;189409;-34997;-52841;354793;0;0;0;1;0
34;-19248;-34794;-1097;-891;-2372;-4247;-306;-36652;-34997;-82382;-28185;1;0;0;0;0
35;-25992;-34794;-1097;-891;-2372;-4247;52547;-6817;28593;-233;-28185;1;0;1;1;0
36;-19281;-34794;-1097;-891;-2372;-4247;-32417;94854;-34997;6241;-28185;1;0;0;1;0
37;-25992;-34794;-1097;-891;-2372;-4247;73797;11169;-34997;65323;-28185;0;0;0;0;0
38;-25992;-33409;-1097;-891;-2372;-4247;-115993;-6817;-34997;-82382;-28185;0;0;0;1;1
39;-25992;-34794;-1097;-891;-2372;-4247;-11667;-57302;314749;-52841;-28185;0;0;0;1;0
40;-18862;37913;-1097;-891;-2372;-4247;-63133;142675;-34997;-141464;354793;0;0;1;1;0
41;-25992;-28507;-1097;-891;-2372;-4247;-86242;-35565;-34997;94864;354793;1;0;0;1;0
42;795386;325755;-1097;-891;-2372;-4247;-102322;63336;-34997;183486;-28185;1;0;0;0;0
43;-25992;-34794;-1097;-891;-2372;-4247;51094;-34478;-34997;-82382;-28185;1;0;0;0;0
44;-25992;-34794;-1097;-891;-2372;-4247;71053;-31218;123979;183486;-28185;0;0;0;0;1
45;108;-16405;238167;-891;-2372;-4247;-45649;-4426;-34997;-111923;-28185;0;0;0;0;0
46;-25992;-34794;-1097;-891;-2372;-4247;172599;-6817;28593;124404;-28185;0;0;0;1;1
47;-25992;-34794;-1097;-891;-2372;-4247;-11667;-6817;-34997;-111923;-28185;0;0;0;1;0
48;-25992;-34794;-1097;-891;-2372;-4247;-1668;-6817;-3202;-52841;-28185;0;0;0;1;1
49;-25992;-407;-1097;-891;-2372;-4247;73797;-8394;-34997;-233;-28185;0;0;1;0;1
50;-13605;-3432;-1097;-891;-2372;-4247;35179;-62736;-34997;124404;-28185;0;0;0;0;0
51;-25992;-34794;-10968;-891;-2372;-4247;-103325;-4047;-34997;-52841;-28185;1;0;1;0;0
