id,product_A_sold_in_the_past,product_B_sold_in_the_past,cust_hitrate,cust_interactions,cust_contracts,product_A_recommended,product_A,product_C,product_D,opp_month,opp_old,competitor_Z,competitor_X,competitor_Y,cust_in_iberia,target_variable
1,1.19639,-0.72616,-1.42625,0.73619,-0.72376,-0.99127,0.68519,-0.0233,-0.00173,-1.17849,-2.06727,0,0,0,0,0
2,0.32405,-0.386,-0.58831,0.26256,-0.75341,-0.60474,-1.87768,-0.07037,0.01367,-0.8055,0.34928,0,1,0,0,0
3,6.23601,-0.79811,-0.23088,0.32162,-2.09564,-0.85365,0.61475,-0.03724,-0.01507,-1.09738,1.36613,0,0,0,0,1
4,1.19956,-0.05105,1.61015,0.86716,-0.63009,-0.5384,-0.33372,0.05147,-0.13712,-0.38958,0.83278,0,0,1,0,1
5,0.11496,-2.16386,0.54524,1.34023,0.43283,-0.27132,0.60746,0.10779,-0.04777,0.69718,1.32672,1,0,0,0,0
6,-0.03739,-0.05695,-0.96839,1.01108,-1.57423,0.56972,0.67693,0.03705,-0.09779,-1.27104,-0.61783,0,0,0,0,0
7,2.02681,0.27497,0.48883,2.94527,0.74848,-0.35693,1.50792,-0.00983,-0.05013,0.50082,-0.99993,0,0,0,0,1
8,1.08502,-0.78686,-1.13784,0.45586,0.18777,-1.3685,1.25345,0.1298,0.009,-1.28167,-1.40535,1,0,0,0,1
9,0.0553,0.3184,0.96615,0.28593,-1.03423,0.81205,1.24657,-0.05128,-0.02474,-1.34763,-0.38384,0,0,0,0,0
10,0.27494,0.90034,-0.2769,1.05999,-0.44153,-0.76967,1.34367,0.08309,0.0174,0.31859,-0.41789,0,0,0,1,0
11,0.19528,-1.94659,0.02509,0.32716,1.29832,-0.14698,0.19138,-0.04881,-0.02291,0.42194,0.01002,1,0,0,0,0
12,-0.36693,-1.10244,1.16064,1.38668,0.43355,0.25723,-0.06781,0.0231,-0.10492,0.35141,-0.49395,0,0,0,0,0
13,1.27959,-0.89655,-0.92973,0.88199,-0.29122,0.05969,0.77282,-0.03136,-0.16604,-1.8158,-0.50044,1,0,1,0,0
14,-2.25787,-1.71389,-1.01769,0.53842,-0.53768,0.77534,0.63208,-0.02559,-0.03256,-0.96595,-1.46504,0,0,1,0,0
15,-0.85694,0.112,-0.36688,0.20512,-0.22339,0.2832,-0.40907,-0.05774,-0.0507,0.32299,1.11243,0,0,0,0,0
16,-0.46333,-0.56251,0.9307,0.39495,-0.81176,-0.78905,0.30482,0.11449,-0.08885,-0.45846,-0.18522,0,0,0,0,0
17,-1.33854,-0.76836,-1.11548,0.277,-2.40475,1.64285,-0.1351,-0.09329,-0.12503,-1.57369,-0.56167,0,0,0,1,0
18,0.0723,-2.10959,-2.16572,1.1354,1.74218,0.05547,-0.95393,-0.09402,-0.07674,-0.04168,-1.42114,1,0,0,0,1
19,-1.0682,0.16301,-0.26093,0.32123,-0.14468,-0.21787,1.19046,0.1921,-0.04972,-1.21481,-2.29787,0,0,0,1,0
20,-1.20022,-1.86295,0.54139,0.19429,0.09815,0.67114,-0.0448,0.07778,-0.00671,1.29452,1.66195,1,1,0,0,0
21,1.72707,0.29963,1.06021,2.90392,-0.35791,0.09956,1.94871,-0.25851,-0.03057,1.04484,0.53196,1,0,0,0,1
22,-0.51263,0.00964,-0.27053,1.40842,-1.03512,0.21938,-1.72549,-0.07653,0.0404,0.1041,-2.73588,0,0,1,0,0
23,0.05535,1.18092,-0.22914,1.92221,-0.48592,1.89375,-0.65678,-0.2012,-0.09178,0.86101,0.84471,1,0,1,1,0
24,-0.35361,-1.93624,1.02312,1.24031,-1.89939,-0.3201,-0.06736,-0.11507,0.00405,-0.43521,1.08372,0,0,0,0,0
25,0.31939,-3.38283,-1.39579,0.51437,1.97709,-0.35421,1.03738,-0.33385,-0.03764,0.26544,-0.11344,0,0,0,0,0
26,0.32908,0.01713,-0.21082,0.08189,-1.53451,-0.00674,0.29947,-0.0337,-0.00527,0.97772,2.09717,1,0,0,0,0
27,-1.13199,1.25521,0.25234,0.63739,-1.33197,0.75721,0.21047,-0.13419,-0.06183,-0.2545,0.02508,0,1,0,0,0
28,0.43571,1.15166,0.45937,0.01176,-0.74026,-1.30523,-1.22726,-0.01401,0.01358,-0.75519,-2.42524,0,0,0,1,1
29,-0.29388,-0.17053,-0.30785,2.21825,0.98808,-1.67244,-1.25694,-0.18251,-0.02524,-2.20462,0.24775,0,0,1,0,0
30,-0.80309,-0.77914,0.12755,1.26255,-0.28549,-0.56969,0.2225,-0.01171,-0.07397,-0.58313,0.06735,0,0,0,1,0
31,-0.73039,0.42661,-1.89066,1.33467,-1.53614,-1.40714,-1.46411,-0.06149,-0.0406,0.32342,-1.20495,0,1,0,1,0
32,1.01799,-0.61786,-0.4266,1.39947,0.95434,-0.43987,-0.63188,0.1302,-0.05198,0.44563,0.56034,0,0,0,0,1
33,0.18611,0.27231,0.46281,1.08138,0.431,0.302,0.40092,0.12114,-0.01554,0.00437,-2.8015,0,0,0,0,0
34,-0.73411,-0.01184,-0.68584,3.10689,0.23843,-0.8126,-1.08232,0.05853,-0.09899,-1.0413,1.18585,0,0,0,1,0
35,0.58095,1.10697,0.14719,0.67126,0.41573,-1.24146,1.50536,-0.05266,-0.04147,-2.47682,-1.61718,0,0,0,0,1
36,-0.43385,2.19341,0.4575,1.44804,2.09436,-0.04453,1.12394,0.17854,-0.02023,-0.99522,-1.77742,0,0,1,0,0
37,-0.40402,0.25508,-0.17404,0.92034,1.88509,0.59003,-1.67142,-0.1753,-0.03835,-0.80434,-0.47074,0,1,0,1,1
38,-2.69186,-1.29686,0.23637,0.03418,-0.98672,-1.45598,-1.03237,-0.16036,0.02735,-0.81293,0.34946,1,0,0,1,0
39,-1.21596,-0.62403,-0.67019,0.27324,1.32388,0.55619,-2.38578,-0.02838,-0.0013,0.11856,-0.05411,0,0,0,1,0
40,0.72041,-1.91002,-0.06529,0.52666,0.08317,0.55384,-0.88259,0.2054,-0.04037,1.48568,-1.41399,0,0,0,1,0
41,1.58043,-0.67317,0.58817,0.54571,0.1991,0.66327,0.66639,-0.04023,-0.02917,-0.37647,-1.05913,0,0,0,0,1
42,-0.05807,-0.55787,0.22558,1.21905,-1.99227,0.87478,-0.51389,-0.03832,-0.02522,-0.71673,-1.99956,0,0,0,0,1
43,0.42369,-0.75878,-0.36923,1.63906,-0.47039,1.66161,0.3608,-0.16419,-0.01984,-0.75922,-0.63702,0,0,0,0,0
44,-0.32036,-0.13798,0.27937,0.65958,-1.11282,-0.38487,-1.62233,0.07459,-0.13128,-0.37562,1.31253,1,0,0,1,0
45,-1.56484,6.29832,0.67169,1.41892,0.52806,-0.01234,0.69798,0.07532,-0.05508,-1.32829,-0.30639,1,0,0,1,0
46,-0.27801,0.70508,-1.53995,0.19812,0.77108,-0.43315,-0.65511,0.05891,-0.11422,-0.3798,0.98912,1,0,0,0,0
47,-0.13448,-0.33798,1.02726,1.14084,-2.37449,-0.09842,-0.08783,-0.08292,0.02391,-0.04919,1.8831,1,0,0,0,0
48,0.26893,0.10784,-0.169,3.67759,-0.32203,1.1263,-0.19287,-0.09067,-0.04304,-0.29031,-1.18203,0,0,0,0,1
49,1.08189,-0.42481,0.44039,0.17479,0.82186,-1.17601,-1.37155,-0.14931,-0.04967,-0.04246,-0.57986,0,0,0,1,1
50,-1.07299,-0.57372,1.0578,0.77197,-0.48668,-0.78884,-1.25308,-0.01161,0.00484,-0.06625,2.95679,1,0,0,0,0
51,0.0113,6.60207,-0.99734,0.58567,0.42906,1.00174,0.86779,-0.12804,-0.01888,-2.2719,1.86652,0,1,0,0,0
52,-0.18718,-1.18265,-0.46755,0.5175,0.05117,0.71603,0.29899,-0.13774,-0.09643,0.13687,-2.80861,1,0,0,1,0
53,-0.42991,-1.06119,-0.13084,0.85233,0.04166,-0.39051,0.95005,-0.06237,-0.04355,-1.17101,0.28072,1,0,0,1,0
54,0.74201,-0.32022,-0.527,0.53381,-0.57131,0.58352,0.22466,-0.06892,-0.05676,-1.59584,-0.29916,1,0,0,0,1
55,0.75585,-1.23657,1.48795,0.92363,-1.51658,0.17297,0.04299,-0.0738,-0.12723,-1.60445,0.93968,0,0,0,1,1
56,0.59547,-0.73987,-0.58542,0.54763,-1.42153,1.10022,-1.82601,0.02664,-0.07451,-0.06646,-1.41747,1,0,1,0,1
57,-0.85199,-0.92799,-0.34444,2.05464,0.40935,-0.04039,-0.37037,-0.0121,-0.04918,-0.72257,-1.55941,0,0,0,0,0
58,0.27715,0.58163,0.26351,0.83836,-0.28054,0.72051,-0.12738,-0.04882,-0.04575,-2.18197,-1.31411,0,0,1,0,0
59,0.60306,0.16194,-0.86172,1.45438,-0.43851,2.01361,1.85311,-0.0017,-0.11411,-0.02196,-1.15789,0,0,0,1,1
60,0.79024,0.28625,-0.21654,0.01559,-0.72389,0.37848,0.58696,-0.11915,0.01758,-1.93961,0.92299,1,0,0,1,1
61,-0.09332,0.50715,0.35396,1.19988,-0.60519,-0.06054,1.43606,-0.00947,-0.04511,-0.36018,-2.0718,1,0,1,0,0
62,-1.60993,-0.39307,-0.16629,0.63512,0.74691,0.47796,0.49754,-0.00494,-0.03812,-0.2615,-1.23392,0,1,1,1,0
63,-0.53195,-0.14144,0.02529,0.84109,-0.63524,-0.39222,-0.8113,-0.1703,-0.01997,0.38558,-2.98352,0,0,0,0,0
64,-2.06606,-0.66208,-0.32347,0.68223,-1.64106,1.81037,0.01712,0.07957,-0.0794,1.28168,1.21068,0,0,0,1,0
65,0.63131,0.30912,-1.11158,0.89004,0.44365,0.04406,0.13622,-0.10814,-0.01718,-1.86468,1.60655,1,0,0,1,1
66,0.79641,-0.37589,0.35727,0.45946,-0.50488,-0.31835,-1.03916,-0.01097,-0.05835,-0.55247,-0.79061,0,0,0,0,1
67,-0.71935,-2.66042,1.50395,0.52719,-0.2686,-0.76855,-0.48439,0.09644,-0.08483,-0.77634,-0.74692,0,0,0,0,0
68,1.58395,-0.03322,0.11472,0.65669,1.30758,0.77778,-0.30577,0.07257,-0.01133,-0.06625,0.37983,0,0,0,1,1
69,0.12779,1.33124,0.28021,1.12708,-0.32056,0.59375,1.50562,-0.01657,0.03458,-0.28433,1.91172,0,0,1,0,1
70,-0.47187,0.53268,0.65418,1.56478,-0.01082,-0.49788,-2.18074,-0.05625,-0.00376,-0.85255,0.31292,0,0,0,1,0
71,0.33794,0.87382,-0.91546,0.98641,-1.47892,0.36116,1.10582,0.07475,0.00615,-0.9409,-1.34631,0,0,0,0,1
72,1.77656,1.49754,1.46201,0.54567,-0.51967,-1.30684,-1.0368,0.04747,-0.06603,-1.61645,-2.72823,1,0,0,1,1
73,0.00258,-0.12209,0.26186,1.5451,0.30953,0.04798,-1.47208,-0.08184,-0.11988,0.48786,-1.97269,1,0,0,0,0
74,0.92315,0.46671,1.40549,0.12611,-1.85537,0.26221,1.07994,-0.09949,0.03451,-0.0408,-0.19017,0,0,0,0,1
75,-2.12161,-1.60358,-0.48643,0.23513,-0.09915,1.26586,0.6319,-0.22724,0.06273,0.41777,-1.28299,1,0,0,0,0
76,0.57502,-0.2695,1.55445,0.43577,-0.19921,-0.71666,1.15452,-0.0046,0.03714,-0.8104,-0.00755,0,1,0,1,1
77,-0.69124,0.44189,0.72012,0.13574,-0.25871,-1.12268,0.7007,-0.02827,-0.05679,-1.15684,-1.12939,0,0,0,0,0
78,-0.51306,0.91418,0.54243,2.10895,0.73716,-0.81634,1.95985,0.09362,-0.09773,-1.57832,-1.88722,0,0,0,0,0
79,0.84214,-0.31192,0.28722,0.16602,0.03444,-1.16925,0.45872,0.01591,-0.09328,-0.14108,-2.06555,0,0,0,1,0
80,-1.56246,-1.24646,-0.09882,0.06674,1.17807,0.96933,-0.25648,0.11342,-0.12419,-1.53979,2.04353,1,0,0,1,0
81,-0.394,-0.26537,1.06043,1.06039,-1.29359,1.13891,0.24293,-0.08974,-0.04537,1.34866,1.03348,0,0,0,0,0
82,0.18248,0.50834,0.21229,0.53784,-0.16408,0.15617,1.14347,0.09382,0.04028,-1.80764,2.29578,0,0,0,1,1
83,1.31708,-1.20049,-1.47366,2.31441,-0.21553,0.87704,-0.87938,-0.07289,-0.04708,-0.22634,0.50993,1,0,1,1,1
84,0.5201,-2.65166,-0.79375,1.99397,-1.36925,0.00717,-0.75189,0.05776,-0.02488,1.06685,-0.94499,0,0,0,0,0
85,-0.61753,-0.99308,-0.04868,1.8734,0.6563,-0.17609,-0.40896,-0.16588,0.02878,0.09909,1.68501,1,0,0,0,0
86,-0.28674,-1.57124,0.348,0.03082,2.02467,-0.36643,-2.20458,0.00351,-0.0602,-0.32433,-0.3496,1,1,0,1,0
87,1.43054,-0.43352,0.05473,1.3315,-0.31701,-0.34831,0.03808,-0.21847,0.06178,-1.46848,0.03126,0,1,0,1,1
88,0.44815,-0.24915,1.07518,0.39576,0.20502,-1.33824,-1.98613,-0.04671,0.0596,-1.88177,-0.36424,1,0,0,0,0
89,-0.65928,-0.81218,-1.46088,1.66747,-0.21548,0.1114,-0.04694,0.02404,-0.04656,0.27005,-4.72036,0,1,0,0,0
90,0.41509,1.40645,0.21487,0.16483,-1.01358,-0.13227,0.76529,-0.0721,-0.06888,1.00615,2.1071,0,0,1,0,1
91,0.06128,0.15587,-1.35438,1.01834,-2.12076,0.49629,-0.57688,-0.12504,-0.00514,-0.93885,0.43651,0,0,0,0,1
92,0.95003,0.39107,0.70777,2.00461,-1.00577,-0.02518,1.57712,0.06461,-0.05738,-1.63906,0.19473,0,0,0,0,1
93,-0.33824,0.21159,0.02443,0.16382,-1.69196,-0.23016,-1.5605,-0.03035,-0.09783,-2.95817,-0.39266,1,0,0,0,0
94,-0.30169,-1.43713,0.43569,0.56587,1.4041,-0.79695,1.09126,-0.06896,0.02406,-1.48076,-0.05486,0,1,0,1,1
95,-0.02579,0.72148,-0.59111,1.7817,-0.41511,-0.04228,0.57514,-0.01581,0.02082,-0.61366,-1.19592,0,0,0,1,0
96,-1.50387,-0.71482,1.12357,0.93835,-0.64592,0.49059,-1.81603,0.24367,-0.03222,1.09912,0.62487,1,0,0,0,0
97,0.33544,0.55932,0.93338,1.01459,0.58915,-1.01467,2.61079,0.09535,-0.10314,0.17313,-2.26065,0,0,0,0,1
98,7.10662,-1.19354,0.56684,0.40787,-1.42175,-0.03002,-0.16375,0.09626,-0.10148,-0.19491,-0.0209,0,1,1,0,0
99,0.46328,-1.75222,-0.00361,0.1414,-1.06686,0.08643,-0.97748,0.02355,-0.03464,-0.90012,0.54236,0,0,0,0,0
100,-0.06134,0.54751,0.56389,0.38673,-0.23193,-0.67445,-1.50709,-0.00335,-0.06499,-1.08317,-0.598,1,1,1,1,0
101,-0.91637,-0.2482,-0.46551,1.50027,0.72877,-0.57029,-0.32002,-0.25961,-0.05705,0.90565,0.2563,0,0,0,1,0
