id,product_A_sold_in_the_past,product_B_sold_in_the_past,product_A_recommended,product_A,product_C,product_D,cust_hitrate,cust_interactions,cust_contracts,opp_month,opp_old,competitor_Z,competitor_X,competitor_Y,cust_in_iberia,target_variable
1,0.54507,1.47923,-0.64014,-2.00781,-0.10635,-0.06119,-0.79127,1.24222,-0.33303,0.2654,-1.31774,0,0,1,0,1
2,-0.4074,0.90956,-0.21561,-0.96039,-0.02312,-0.06267,-0.40474,-1.83322,-0.80365,0.57341,-0.75825,1,0,0,0,0
3,0.77153,-0.12844,0.75316,-0.51361,-0.0182,-0.12978,-0.65365,1.15769,-0.47237,-0.00131,-1.19607,0,0,0,0,1
4,2.08454,-0.97632,-0.34637,1.78769,0.02726,-0.0565,-0.3384,0.01953,0.41473,-2.4425,-0.13437,0,1,0,0,1
5,-0.55123,-1.12566,-1.61489,0.45655,-0.15669,-0.00336,-0.07132,1.14895,0.97786,-0.65542,1.49577,0,0,0,0,1
6,4.82742,0.27218,0.07063,-1.43548,0.03926,-0.10371,0.76972,1.23232,0.27049,-1.65571,-1.45656,1,0,0,0,0
7,2.16882,0.87423,-0.09904,0.38604,-0.29044,0.01242,-0.15693,2.2295,-0.19828,-0.70261,1.20123,0,0,0,1,1
8,0.95115,0.56221,-0.75367,-1.6473,-0.08299,-0.01561,-1.1685,1.92414,1.19801,0.48,-1.47251,1,0,1,0,1
9,-0.90421,1.05946,0.4274,0.98269,-0.06883,-0.07671,1.01205,1.91589,-0.61284,-0.19485,-1.57144,0,0,0,1,1
10,0.61384,-0.84228,0.65006,7.38181,0.04333,-0.04708,-0.56967,2.0324,0.73092,0.64809,0.92789,0,0,0,0,0
11,-0.89513,1.38087,-1.38605,-0.19364,-0.01774,0.03992,0.05302,0.64965,-0.58806,-0.15825,1.0829,0,0,0,0,1
12,-0.89859,0.03712,-0.71018,1.2258,-0.16056,-0.00332,0.45723,0.33862,0.13102,-1.79833,0.97711,0,0,0,0,1
13,0.16294,2.29031,-0.71531,-1.38716,-0.1185,-0.03956,0.25969,1.34738,-0.41356,-3.02085,-2.2737,0,0,0,0,0
14,-3.06992,-1.02703,-0.85192,-1.49712,-0.00013,-0.05188,0.97534,1.1785,-0.35585,-0.35119,-0.99893,1,1,0,0,0
15,-2.78738,1.88316,0.56358,-0.6836,9.8194,-0.03617,0.4832,-0.07088,-0.67739,-0.71393,0.93448,0,0,0,1,0
16,-1.04343,0.03749,-0.25506,0.93838,-0.07791,-0.06559,-0.58905,0.78579,1.04485,-1.47695,-0.23769,0,0,0,1,1
17,-1.71925,-0.9817,-0.31161,-1.61935,-0.06808,-0.14524,1.84285,0.25788,-1.03293,-2.20063,-1.91054,0,0,0,0,0
18,0.27137,-0.78066,-1.70309,-2.93216,0.04962,0.06211,0.25547,-0.72472,-1.04023,-1.23474,0.38748,1,0,0,0,0
19,-1.56204,-0.58442,0.40833,-0.55116,-0.07177,-0.03223,-0.01787,1.84855,1.82099,-0.69449,-1.37221,1,0,1,1,1
20,-2.31846,0.309,-1.09141,0.45174,-0.02881,-0.02009,0.87114,0.36624,0.67785,0.16588,2.39179,1,0,0,0,0
21,1.99847,0.4274,-0.05205,1.10026,0.19699,-0.0429,0.29956,2.75845,-2.68511,-0.31137,2.01726,1,0,0,1,0
22,-0.53866,-0.88844,0.1219,-0.56316,-0.16237,-0.07676,0.41938,-1.65059,-0.86526,1.10807,0.60615,1,0,0,1,0
23,-0.09871,-0.22923,0.98853,-0.51143,-0.20518,-0.0493,2.09375,-0.36813,-2.11199,-1.5356,1.74151,1,0,0,1,1
24,-2.33712,2.37072,-1.14706,1.0539,0.05836,-0.11997,-0.1201,0.33917,-1.25069,0.38106,-0.20281,1,0,1,0,1
