id;product_A_sold_in_the_past;product_B_sold_in_the_past;product_A_recommended;product_A;product_C;product_D;cust_hitrate;cust_interactions;cust_contracts;opp_month;opp_old;competitor_Z;competitor_X;competitor_Y;cust_in_iberia;target_variable
1;-25992;335306;-1097;1227707;-2372;-4247;62437;30780;-34997;124404;-28185;0;0;0;0;0
2;108216;-34794;-1097;478455;-2372;-4247;-3240;1485;92184;-233;-28185;0;0;0;0;0
3;65945;-34794;-1097;-891;-2372;-4247;51505;10802;-34997;-233;-28185;0;0;0;0;0
4;-25992;-34794;-1097;-891;-2372;-4247;-52080;143459;92184;183486;-28185;0;0;0;0;0
5;-25992;-34794;-1097;-891;-2372;-4247;11624;64701;60388;-82382;-28185;0;0;0;0;1
6;-25992;225596;-1097;-891;-2372;-4247;14748;149846;28593;-82382;-28185;0;0;0;0;1
7;-25992;-34794;-1097;-891;-2372;-4247;-32852;23550;92184;-141464;-28185;0;0;1;1;0
8;28136;-34794;-1097;-891;-2372;-4247;-11484;86091;28593;-111923;-28185;0;0;0;0;1
9;-25992;-34794;-1097;-891;-2372;-4247;-18177;68188;92184;-82382;-28185;0;0;0;0;0
10;65945;254732;-1097;-891;-2372;-4247;50864;48596;28593;183486;-28185;0;0;1;0;0
11;-25992;225596;-1097;-891;-2372;-4247;-10150;85989;92184;-141464;-28185;1;0;0;1;0
12;108216;-34794;-1097;-891;-2372;-4247;2050;9399;28593;-233;-28185;0;0;0;0;0
13;28136;-34794;-1097;1227707;-2372;-4247;55534;91435;92184;-141464;-28185;0;0;1;1;0
14;-25992;-34794;-1097;-891;-2372;-4247;26655;188194;60388;-233;-28185;0;0;1;1;0
15;-25992;225596;258928;-891;-2372;-4247;8538;6896;60388;183486;-28185;0;0;0;1;0
16;-25992;-34794;-1097;-891;-2372;-4247;-47117;22337;60388;-111923;-28185;0;0;0;1;0
17;-25992;-34794;-1097;-891;-2372;-4247;-2563;99069;28593;183486;354793;0;0;0;1;0
18;-25992;-34794;258928;-891;-2372;-4247;26385;77940;92184;-111923;-28185;1;0;1;1;0
19;-25992;-34794;-1097;-891;-2372;-4247;86543;34449;28593;-82382;-28185;0;0;1;1;0
20;-25992;-34794;258928;-891;-2372;-4247;-115211;178031;92184;183486;-28185;0;0;0;0;0
