id;product_A_sold_in_the_past;product_B_sold_in_the_past;product_A_recommended;product_A;product_C;product_D;cust_hitrate;cust_interactions;cust_contracts;opp_month;opp_old;competitor_Z;competitor_X;competitor_Y;cust_in_iberia;target_variable
1;37589;-28599;-1097;478455;-2372;-4247;-29281;181375;-34997;65323;-28185;1;0;0;1;1
2;-25992;-34794;-1097;-891;-2372;-4247;68508;104553;-3202;-141464;-28185;0;0;0;1;0
3;-25992;153069;-1097;-891;-2372;-4247;57988;5474;-34997;65323;354793;0;0;0;1;0
4;28136;-28599;-1097;-891;-2372;-4247;37964;97786;28593;153945;-28185;1;0;0;0;0
5;405959;-34794;335053;-891;-2372;-4247;-69646;124787;28593;-111923;-28185;0;0;1;1;1
6;405959;225596;-1097;-891;-2372;-4247;-39444;37035;-34997;6241;-28185;0;0;1;0;1
7;37589;200541;-1097;-891;-2372;-4247;51757;9705;-34997;-233;354793;1;0;0;0;0
8;-25992;-34794;-10968;-891;-2372;-4247;45887;7450;60388;6241;354793;0;0;0;0;0
9;-19248;200541;-1097;-891;98194;-4247;25639;72767;-34997;65323;354793;1;0;0;1;1
10;-25992;225596;-1097;-891;-2372;-4247;-41140;109415;-3202;-82382;-28185;0;0;0;0;0
11;28136;335306;-1097;-891;-2372;-4247;-18340;100520;251159;-141464;-28185;0;0;0;1;1
12;-25992;200541;-1097;-891;-2372;-4247;-14524;229034;-34997;65323;-28185;0;0;0;0;0
13;108216;351662;-1097;-891;-2372;-4247;18218;856;-34997;-52841;-28185;0;1;0;0;1
14;65945;335306;-1097;-891;-2372;-4247;-10604;64178;-34997;94864;354793;0;0;0;0;1
15;-25992;-24182;-1097;-891;98194;-4247;57029;90192;-34997;124404;-28185;0;0;0;1;0
16;-25992;-24182;-1097;-891;-2372;3310429;-5646;83548;-34997;183486;354793;0;0;1;1;0
17;405959;-28599;-1097;-891;-2372;-4247;-18576;77575;-34997;153945;-28185;0;0;0;1;1
